AATS3s,AATS3m,MATS2dv,GATS1c,SIC3,BDE,T,log10(k)
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,700.0,-11.502199104710222
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,705.0,-11.496678507576734
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,710.0,-11.491192283240474
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,715.0,-11.485740013970117
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,720.0,-11.480321289424316
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,725.0,-11.474935706484064
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,730.0,-11.469582869089557
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,735.0,-11.464262388081403
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,740.0,-11.458973881046091
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,745.0,-11.453716972165571
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,750.0,-11.448491292070814
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,755.0,-11.44329647769926
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,760.0,-11.43813217215601
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,765.0,-11.43299802457868
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,770.0,-11.42789369000579
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,775.0,-11.422818829248586
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,780.0,-11.417773108766205
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,785.0,-11.412756200544074
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,790.0,-11.407767781975444
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,795.0,-11.402807535745994
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,800.0,-11.397875149721374
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,805.0,-11.392970316837634
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,810.0,-11.388092734994451
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,815.0,-11.383242106951055
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,820.0,-11.378418140224795
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,825.0,-11.37362054699225
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,830.0,-11.368849043992835
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,835.0,-11.364103352434821
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,840.0,-11.359383197903671
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,845.0,-11.354688310272687
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,850.0,-11.350018423615833
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,855.0,-11.34537327612273
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,860.0,-11.34075261001573
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,865.0,-11.336156171469007
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,870.0,-11.33158371052963
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,875.0,-11.32703498104055
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,880.0,-11.322509740565438
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,885.0,-11.318007750315353
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,890.0,-11.313528775077133
1.8,6.561576,-0.5,1.3779050309999998,0.763230027,85.72100355,895.0,-11.309072583143536
